TIMESTAMP,REPORT_NAME,EXECUTION_TIME_IN_SECONDS,STATUS
2025-02-10 08:24:32,duk008,725,SUCCESS
2025-02-11 08:11:50,duk008_xls,708,SUCCESS
2025-02-11 08:22:56,duk008,665,SUCCESS
2025-02-11 17:39:52,accruals,3590,SUCCESS
2025-02-11 18:28:01,provision,2887,SUCCESS
2025-02-11 18:49:54,ic01,1310,SUCCESS
2025-02-12 08:13:56,duk008_xls,834,SUCCESS
2025-02-12 08:26:35,duk008,758,SUCCESS
2025-02-13 08:12:09,duk008_xls,727,SUCCESS
2025-02-13 08:23:35,duk008,684,SUCCESS
2025-02-14 08:12:56,duk008_xls,775,SUCCESS
2025-02-14 08:24:45,duk008,708,SUCCESS
2025-02-15 08:11:58,duk008_xls,717,SUCCESS
2025-02-15 08:23:14,duk008,674,SUCCESS
2025-02-16 08:13:31,duk008_xls,810,SUCCESS
2025-02-16 08:18:23,duk008,290,FAIL
2025-02-16 08:30:38,duk008,673,SUCCESS
2025-02-17 08:11:58,duk008_xls,717,SUCCESS
2025-02-17 08:23:23,duk008,684,SUCCESS
2025-02-18 08:12:20,duk008_xls,739,SUCCESS
2025-02-18 08:23:46,duk008,684,SUCCESS
2025-02-19 08:12:10,duk008_xls,728,SUCCESS
2025-02-19 08:23:36,duk008,684,SUCCESS
2025-02-20 08:12:34,duk008_xls,753,SUCCESS
2025-02-20 08:24:46,duk008,730,SUCCESS
2025-02-21 08:12:09,duk008_xls,727,SUCCESS
2025-02-21 08:23:36,duk008,685,SUCCESS
2025-02-22 08:14:27,duk008_xls,865,SUCCESS
2025-02-22 08:25:42,duk008,673,SUCCESS
2025-02-23 08:11:58,duk008_xls,716,SUCCESS
2025-02-23 08:23:14,duk008,674,SUCCESS
2025-02-24 08:12:20,duk008_xls,739,SUCCESS
2025-02-24 08:23:46,duk008,684,SUCCESS
2025-02-25 08:12:09,duk008_xls,728,SUCCESS
2025-02-25 08:23:35,duk008,684,SUCCESS
2025-02-26 08:12:10,duk008_xls,729,SUCCESS
2025-02-26 08:23:36,duk008,685,SUCCESS
2025-02-27 08:12:10,duk008_xls,728,SUCCESS
2025-02-27 08:23:47,duk008,695,SUCCESS
2025-02-28 08:12:35,duk008_xls,754,SUCCESS
2025-02-28 08:25:14,duk008,757,SUCCESS
2025-03-01 08:11:49,duk008_xls,707,SUCCESS
2025-03-01 08:22:54,duk008,664,SUCCESS
2025-03-02 08:13:54,duk008_xls,832,SUCCESS
2025-03-02 08:25:11,duk008,675,SUCCESS
2025-03-03 08:11:59,duk008_xls,718,SUCCESS
2025-03-03 08:23:15,duk008,674,SUCCESS
2025-03-04 08:11:59,duk008_xls,718,SUCCESS
2025-03-04 08:23:25,duk008,684,SUCCESS
2025-03-05 08:11:47,duk008_xls,706,SUCCESS
2025-03-05 08:23:04,duk008,675,SUCCESS
2025-03-06 08:13:42,duk008_xls,821,SUCCESS
2025-03-06 08:24:48,duk008,664,SUCCESS
2025-03-07 08:11:48,duk008_xls,707,SUCCESS
2025-03-07 08:23:07,duk008,675,SUCCESS
2025-03-08 08:14:05,duk008_xls,843,SUCCESS
2025-03-08 08:25:10,duk008,663,SUCCESS
2025-03-09 08:11:48,duk008_xls,706,SUCCESS
2025-03-09 08:18:32,duk008,402,FAIL
2025-03-09 08:26:03,duk008,390,FAIL
2025-03-09 08:33:34,duk008,390,FAIL
2025-03-09 08:45:39,duk008,664,SUCCESS
2025-03-10 08:13:19,duk008_xls,797,SUCCESS
2025-03-10 08:24:35,duk008,674,SUCCESS
2025-03-10 17:42:44,accruals,21162,SUCCESS
